variant,m,game,repeat,Bhat,true_loss,covered,tightness
Pi2,1500,0,1,0.4690760788345948,0.39840901505370474,1,1.177373154498937
Pi2,1500,0,2,0.5668194282477573,0.39840901505370474,1,1.4227073355038193
Pi2,1500,0,3,0.5420930178788386,0.39840901505370474,1,1.3606444568172371
Pi2,1500,0,4,0.5292968157041323,0.39840901505370474,1,1.328526202231604
Pi2,1500,0,5,0.5177802123875065,0.39840901505370474,1,1.29961971949282
Pi2,1500,0,6,0.5190614373683801,0.39840901505370474,1,1.3028355728808285
Pi2,1500,0,7,0.5012705805971267,0.39840901505370474,1,1.258180818347086
Pi2,1500,0,8,0.564829391686555,0.39840901505370474,1,1.4177123768407125
Pi2,1500,0,9,0.5894613184425452,0.39840901505370474,1,1.4795381032306385
Pi2,1500,0,10,0.5098665175785911,0.39840901505370474,1,1.279756477171738
Pi2,1500,0,11,0.522381656195323,0.39840901505370474,1,1.3111692669025246
Pi2,1500,0,12,0.5211375179018362,0.39840901505370474,1,1.3080465004828965
Pi2,1500,0,13,0.6308554826187938,0.39840901505370474,1,1.58343676669504
Pi2,1500,0,14,0.529179700459381,0.39840901505370474,1,1.3282322449155641
Pi2,1500,0,15,0.6114578768182081,0.39840901505370474,1,1.534749098826955
Pi2,1500,0,16,0.5730695150657946,0.39840901505370474,1,1.4383949494429638
Pi2,1500,0,17,0.5815356727823153,0.39840901505370474,1,1.459644864471567
Pi2,1500,0,18,0.6128521395440099,0.39840901505370474,1,1.5382486750742792
Pi2,1500,0,19,0.5672840954959869,0.39840901505370474,1,1.4238736425668435
Pi2,1500,0,20,0.5776547288736004,0.39840901505370474,1,1.4499037598226376
Pi2,1500,0,21,0.5605200799621,0.39840901505370474,1,1.406896076100444
Pi2,1500,0,22,0.6154437871025291,0.39840901505370474,1,1.5447536673324738
Pi2,1500,0,23,0.5348092875435446,0.39840901505370474,1,1.3423624148450892
Pi2,1500,0,24,0.5175187986852519,0.39840901505370474,1,1.2989635754489426
Pi2,1500,0,25,0.473751861386257,0.39840901505370474,1,1.1891092909190226
Pi2,1500,0,26,0.5676709625214126,0.39840901505370474,1,1.4248446723648853
Pi2,1500,0,27,0.5443427531584102,0.39840901505370474,1,1.3662912549431991
Pi2,1500,0,28,0.4825050706653198,0.39840901505370474,1,1.2110797005943228
Pi2,1500,0,29,0.5887691935022115,0.39840901505370474,1,1.4778008811443348
Pi2,1500,0,30,0.5116640649685436,0.39840901505370474,1,1.284268291217186
Pi2,1500,0,31,0.5697439703353767,0.39840901505370474,1,1.4300478874921452
Pi2,1500,0,32,0.5256004224983136,0.39840901505370474,1,1.3192483167768272
Pi2,1500,0,33,0.6464620699235873,0.39840901505370474,1,1.6226090412046663
Pi2,1500,0,34,0.5770616740524924,0.39840901505370474,1,1.4484152020874972
Pi2,1500,0,35,0.5376345996193869,0.39840901505370474,1,1.349453901154608
Pi2,1500,0,36,0.5660224111818875,0.39840901505370474,1,1.4207068359273667
